city_id,mntd_normalised,mntd_standardised,mntd_actual,mntd_min,mntd_max,mntd_mean,mntd_sd,mpd_normalised,mpd_standardised,mpd_actual,mpd_min,mpd_max,mpd_mean,mpd_sd,fd_normalised,fd_standardised,fd_actual,fd_min,fd_max,fd_mean,fd_sd,FRic_normalised,FRic_standardised,FRic_actual,FRic_min,FRic_max,FRic_mean,FRic_sd,mass_fd_normalised,mass_fd_standardised,mass_fd_actual,mass_fd_min,mass_fd_max,mass_fd_mean,mass_fd_sd,mass_var_normalised,mass_var_standardised,mass_var_actual,mass_var_min,mass_var_max,mass_var_mean,mass_var_sd,mass_sdndr_normalised,mass_sdndr_standardised,mass_sdndr_actual,mass_sdndr_min,mass_sdndr_max,mass_sdndr_mean,mass_sdndr_sd,locomotory_trait_fd_normalised,locomotory_trait_fd_standardised,locomotory_trait_fd_actual,locomotory_trait_fd_min,locomotory_trait_fd_max,locomotory_trait_fd_mean,locomotory_trait_fd_sd,locomotory_trait_var_normalised,locomotory_trait_var_standardised,locomotory_trait_var_actual,locomotory_trait_var_min,locomotory_trait_var_max,locomotory_trait_var_mean,locomotory_trait_var_sd,locomotory_trait_sdndr_normalised,locomotory_trait_sdndr_standardised,locomotory_trait_sdndr_actual,locomotory_trait_sdndr_min,locomotory_trait_sdndr_max,locomotory_trait_sdndr_mean,locomotory_trait_sdndr_sd,trophic_trait_fd_normalised,trophic_trait_fd_standardised,trophic_trait_fd_actual,trophic_trait_fd_min,trophic_trait_fd_max,trophic_trait_fd_mean,trophic_trait_fd_sd,trophic_trait_var_normalised,trophic_trait_var_standardised,trophic_trait_var_actual,trophic_trait_var_min,trophic_trait_var_max,trophic_trait_var_mean,trophic_trait_var_sd,trophic_trait_sdndr_normalised,trophic_trait_sdndr_standardised,trophic_trait_sdndr_actual,trophic_trait_sdndr_min,trophic_trait_sdndr_max,trophic_trait_sdndr_mean,trophic_trait_sdndr_sd,city_name,regional_pool_size,urban_pool_size
7899,0.393768639781471,-0.41167154642126597,32.1015223406,13.86816802,60.17290760189999,38.88967082319333,16.489234054682456,0.393768639781471,-0.41167154642126597,32.1015223406,13.86816802,60.17290760189999,38.88967082319333,16.489234054682456,1,1.26055207953136,271.22205868608353,140.6916654196515,271.22205868608353,210.5403757922607,48.13897329524273,NA,NA,NA,NA,NA,NA,NA,1,1.2605427318329239,271.2202566964286,140.68115107548704,271.2202566964286,210.5373396049446,48.14030937550721,0.5681355603941171,0.9300078293602201,21053.519999999997,50,37019.205,10057.033666666666,11824.079310061443,NA,NA,NA,NA,NA,NA,NA,1,0.8097093857584328,1.068606871284083,0.7958707004581342,1.068606871284083,0.9882383286946101,0.09925603432914869,0.12317708333333315,-0.5191530946464713,0.04257601351351345,0.0066216216216216095,0.2985135135135135,0.08843693693693697,0.08833795636844564,NA,NA,NA,NA,NA,NA,NA,1,1.09901805059229,0.5429054910818694,0.3780253177701589,0.5429054910818694,0.4822975232388528,0.05514738161975897,0.02373673799676336,-0.8258850904798787,0.0066216216216216425,0.002162162162162147,0.1900337837837838,0.05125506756756756,0.05404316709484579,NA,NA,NA,NA,NA,NA,NA,Lucknow,7,2
7917,1,1.4284479195144149,60.17290760189999,12.400415872,60.17290760189999,36.5142494344,16.56249264974427,1,1.4284479195144149,60.17290760189999,12.400415872,60.17290760189999,36.5142494344,16.56249264974427,1,1.3755759167395025,271.22205868608353,136.66180929789127,271.22205868608353,208.37703626617417,45.68633519614791,NA,NA,NA,NA,NA,NA,NA,1,1.3755701433443615,271.2202566964286,136.66012834821427,271.2202566964286,208.3741831446614,45.68729108860444,0.19186090174784556,-0.16180175684295584,7104.319999999999,2.204999999999988,37019.205,8774.861428571428,10324.618602212402,NA,NA,NA,NA,NA,NA,NA,0.13519059963424568,-1.6574874692542905,0.7958707004581342,0.7532354487364091,1.068606871284083,0.9831956459404775,0.11301741277514539,0.020408163265306093,-0.9033388807786045,0.0066216216216216095,5.405405405405368e-4,0.2985135135135135,0.08609153796653798,0.0879735368817733,NA,NA,NA,NA,NA,NA,NA,1,1.1720115664098758,0.5429054910818694,0.35341113605971786,0.5429054910818694,0.4710284178852626,0.06132795550540659,0.08588193456614504,-0.5834968556392871,0.01635135135135134,3.378378378378479e-5,0.1900337837837838,0.04686856499356498,0.052300562286284415,NA,NA,NA,NA,NA,NA,NA,Wardha,7,2
7920,0.393768639781471,-0.41167154642126597,32.1015223406,13.86816802,60.17290760189999,38.88967082319333,16.489234054682456,0.393768639781471,-0.41167154642126597,32.1015223406,13.86816802,60.17290760189999,38.88967082319333,16.489234054682456,1,1.26055207953136,271.22205868608353,140.6916654196515,271.22205868608353,210.5403757922607,48.13897329524273,NA,NA,NA,NA,NA,NA,NA,1,1.2605427318329239,271.2202566964286,140.68115107548704,271.2202566964286,210.5373396049446,48.14030937550721,0.5681355603941171,0.9300078293602201,21053.519999999997,50,37019.205,10057.033666666666,11824.079310061443,NA,NA,NA,NA,NA,NA,NA,1,0.8097093857584328,1.068606871284083,0.7958707004581342,1.068606871284083,0.9882383286946101,0.09925603432914869,0.12317708333333315,-0.5191530946464713,0.04257601351351345,0.0066216216216216095,0.2985135135135135,0.08843693693693697,0.08833795636844564,NA,NA,NA,NA,NA,NA,NA,1,1.09901805059229,0.5429054910818694,0.3780253177701589,0.5429054910818694,0.4822975232388528,0.05514738161975897,0.02373673799676336,-0.8258850904798787,0.0066216216216216425,0.002162162162162147,0.1900337837837838,0.05125506756756756,0.05404316709484579,NA,NA,NA,NA,NA,NA,NA,Raichur,7,2
7930,0.412394366615577,-0.5500036747873899,32.1015223406,12.400415872,60.17290760189999,41.63521090251428,17.33386338845761,0.412394366615577,-0.5500036747873899,32.1015223406,12.400415872,60.17290760189999,41.63521090251428,17.33386338845761,1,1.5001251399958506,271.22205868608353,136.66180929789127,271.22205868608353,203.36422006364066,45.23478529439922,NA,NA,NA,NA,NA,NA,NA,1,1.500117467341903,271.2202566964286,136.66012834821427,271.2202566964286,203.36122359437283,45.23581291423592,0.56869316800389,1.418299023030254,21053.519999999997,2.204999999999988,37019.205,7545.411428571429,9524.16123263481,NA,NA,NA,NA,NA,NA,NA,1,0.8052869130183361,1.068606871284083,0.7477554824928968,1.068606871284083,0.9757399154008908,0.11532157592765663,0.14201987598742863,-0.40726591851773974,0.04257601351351345,2.1114864864864866e-4,0.2985135135135135,0.07506756756756759,0.07977970308025878,NA,NA,NA,NA,NA,NA,NA,1,1.2414242588947801,0.5429054910818694,0.35341113605971786,0.5429054910818694,0.4695559800458517,0.059084966731131505,0.03467283072546241,-0.768087820212586,0.0066216216216216425,3.378378378378479e-5,0.1900337837837838,0.042975084459459446,0.04732982594070577,NA,NA,NA,NA,NA,NA,NA,Mysuru,8,2
7973,1,1.4284479195144149,60.17290760189999,12.400415872,60.17290760189999,36.5142494344,16.56249264974427,1,1.4284479195144149,60.17290760189999,12.400415872,60.17290760189999,36.5142494344,16.56249264974427,1,1.3755759167395025,271.22205868608353,136.66180929789127,271.22205868608353,208.37703626617417,45.68633519614791,NA,NA,NA,NA,NA,NA,NA,1,1.3755701433443615,271.2202566964286,136.66012834821427,271.2202566964286,208.3741831446614,45.68729108860444,0.19186090174784556,-0.16180175684295584,7104.319999999999,2.204999999999988,37019.205,8774.861428571428,10324.618602212402,NA,NA,NA,NA,NA,NA,NA,0.13519059963424568,-1.6574874692542905,0.7958707004581342,0.7532354487364091,1.068606871284083,0.9831956459404775,0.11301741277514539,0.020408163265306093,-0.9033388807786045,0.0066216216216216095,5.405405405405368e-4,0.2985135135135135,0.08609153796653798,0.0879735368817733,NA,NA,NA,NA,NA,NA,NA,1,1.1720115664098758,0.5429054910818694,0.35341113605971786,0.5429054910818694,0.4710284178852626,0.06132795550540659,0.08588193456614504,-0.5834968556392871,0.01635135135135134,3.378378378378479e-5,0.1900337837837838,0.04686856499356498,0.052300562286284415,NA,NA,NA,NA,NA,NA,NA,Nagpur,7,2
8070,0.39376863975851045,-1.244657107068439,32.1015223406,13.86816802,60.172907604600006,49.62361107769454,14.077844120751138,0.39376863975851045,-1.244657107068439,32.1015223406,13.86816802,60.172907604600006,49.62361107769454,14.077844120751138,1,1.0388576126244105,271.22205868608353,136.66180929789127,271.22205868608353,220.59413861615738,48.73422445452129,NA,NA,NA,NA,NA,NA,NA,1,1.0388542791447115,271.2202566964286,136.66012834821427,271.2202566964286,220.59147077037233,48.735214305262254,0.2580912372157802,0.33566969286332726,21053.519999999997,2.204999999999988,81567.605,14802.968136363635,18621.138567256243,NA,NA,NA,NA,NA,NA,NA,1,0.8470473217391681,1.068606871284083,0.7477554824928968,1.068606871284083,0.9604581941396091,0.1276772552948066,0.1602351137234855,-0.1883289538505439,0.04257601351351345,2.1114864864864866e-4,0.2646030405405406,0.05424078624078625,0.061938286645662866,NA,NA,NA,NA,NA,NA,NA,1,0.9472067635912664,0.5429054910818694,0.34930116137708395,0.5429054910818694,0.4787422310685176,0.06773944452220904,0.028797061524334363,-0.7336671178635236,0.0066216216216216425,0,0.2299408783783782,0.04859866400491399,0.05721537923838219,NA,NA,NA,NA,NA,NA,NA,Coimbatore,11,2
8398,0.39376863975851045,-1.1648348192933178,32.1015223406,13.86816802,60.172907604600006,49.388836609847615,14.841000614778572,0.39376863975851045,-1.1648348192933178,32.1015223406,13.86816802,60.172907604600006,49.388836609847615,14.841000614778572,1,0.9555452416212874,271.22205868608353,140.6916654196515,271.22205868608353,222.96952784168766,50.497379655750365,NA,NA,NA,NA,NA,NA,NA,1,0.9555384982401542,271.2202566964286,140.68115107548704,271.2202566964286,222.96662597545836,50.498887077643104,0.19613289810955367,-0.12546061065689548,21053.519999999997,50,107138.205,25029.03476190476,31687.35383232621,NA,NA,NA,NA,NA,NA,NA,1,0.7709752133731584,1.068606871284083,0.7477554824928968,1.068606871284083,0.9814795891328165,0.11300918711779155,0.09825468648998045,-0.5106255933000978,0.04257601351351345,2.1114864864864866e-4,0.43138513513513516,0.10074726512226513,0.11392153541070958,NA,NA,NA,NA,NA,NA,NA,0.5849635089169529,0.1060122936598243,0.5429054910818694,0.3717918561681641,0.6643120429923275,0.5324165742250264,0.09894057089737274,0.010787962904548651,-0.6899656066460411,0.0066216216216216425,8.445945945945946e-4,0.5363513513513513,0.12418034105534102,0.17038344853909235,NA,NA,NA,NA,NA,NA,NA,Madurai,8,2
8516,1,1.103280901189727,41.45865076103333,19.483268178933333,41.45865076103333,31.919737443896665,8.645951640103934,1,1.0633146861965446,50.81577918146666,25.098368337866667,50.81577918146666,38.88967082319333,11.215972574339949,1,1.2614108746753139,338.09309352348475,181.62732663239814,338.09309352348475,264.34511132540797,58.4646792561222,NA,NA,NA,NA,NA,NA,NA,1,1.2614052048087891,338.0894700779837,181.6148137895845,338.0894700779837,264.33920138701205,58.46675470326059,0.4413675936092405,0.0749896155580245,10618.613333333333,892,22929.443333333333,10057.033666666666,7488.765777604696,0.1738778063727232,-0.969824980032885,0.11440519071829129,0.004162172027912994,0.6381879915972154,0.30870772425885445,0.20034803963698142,0.3780726699775735,-0.6138494725509067,1.1280245196265635,1.0354892648201617,1.2802444723623805,1.1837583063021202,0.09079389845192823,0,-1.3737172856116504,0.0216047297297297,0.0216047297297297,0.17378378378378379,0.08843693693693697,0.04865062695738745,0.288383767954261,-0.503918847718071,0.1493887565887073,0.008729713347981541,0.4964792293437464,0.22620555522803482,0.15243882817080984,0.5449054943089224,-0.2382929812949063,0.5716296474749443,0.44656893125708597,0.6760779333207683,0.588133302428147,0.06925783069027176,0,-1.3619086392715791,0.008378378378378376,0.008378378378378376,0.10745495495495494,0.05125506756756756,0.03148279403831516,0.3696969696969724,-0.2374831765743449,0.19284730395996919,9.004297352619013e-17,0.5216361500556504,0.22562640590276828,0.13802704854984743,Varanasi,7,3
8517,0.4123943665922693,-0.7862664190429869,32.1015223406,12.400415872,60.172907604600006,45.343475969055554,16.84156070734033,0.4123943665922693,-0.7862664190429869,32.1015223406,12.400415872,60.172907604600006,45.343475969055554,16.84156070734033,1,1.1357307719285359,271.22205868608353,136.66180929789127,271.22205868608353,216.48975679323905,48.191264378533916,NA,NA,NA,NA,NA,NA,NA,1,1.1357264069525532,271.2202566964286,136.66012834821427,271.2202566964286,216.48702368145334,48.19226944087583,0.1964915154569892,0.0048276106621408426,21053.519999999997,2.204999999999988,107138.205,20910.381944444445,29649.875595410136,NA,NA,NA,NA,NA,NA,NA,1,0.7952586297187374,1.068606871284083,0.7477554824928968,1.068606871284083,0.9803342543664073,0.11099862814301745,0.0730992873693874,-0.5371038532918464,0.04257601351351345,2.1114864864864866e-4,0.5797635135135134,0.11283549174174175,0.13081171880934425,NA,NA,NA,NA,NA,NA,NA,0.6095008113412355,0.30955718143370253,0.5429054910818694,0.35341113605971786,0.6643120429923275,0.5128351051450685,0.09714000430399004,0.009024435394298435,-0.6539399217743415,0.0066216216216216425,3.378378378378479e-5,0.7300337837837838,0.12047203453453452,0.17409919339990967,NA,NA,NA,NA,NA,NA,NA,Durg,9,2
8558,0.39376863975851045,-1.5315884445107268,32.1015223406,13.86816802,60.172907604600006,51.65789375020555,12.768685660757207,0.39376863975851045,-1.5315884445107268,32.1015223406,13.86816802,60.172907604600006,51.65789375020555,12.768685660757207,1,1.1366421637620752,271.22205868608353,140.6916654196515,271.22205868608353,215.6593622896398,48.88319135772817,NA,NA,NA,NA,NA,NA,NA,1,1.1366362458217558,271.2202566964286,140.68115107548704,271.2202566964286,215.65647333157466,48.884402172731065,0.19613289810955367,0.036111353380320205,21053.519999999997,50,107138.205,20008.966111111113,28925.913628541548,NA,NA,NA,NA,NA,NA,NA,1,0.8123466444485978,1.068606871284083,0.7477554824928968,1.068606871284083,0.9705284446311203,0.12073469783276584,0.09825468648998045,-0.3833298351059283,0.04257601351351345,2.1114864864864866e-4,0.43138513513513516,0.07934543918918921,0.09592111625100874,NA,NA,NA,NA,NA,NA,NA,0.6145956886062592,0.34520354394187325,0.5429054910818694,0.34930116137708395,0.6643120429923275,0.5080367886003562,0.10100910924421021,0.01234567901234572,-0.5952707251719549,0.0066216216216216425,0,0.5363513513513513,0.09583403716216214,0.1498686425655652,NA,NA,NA,NA,NA,NA,NA,Tirupati,9,2
8565,0.4123943665922693,-0.7862664190429869,32.1015223406,12.400415872,60.172907604600006,45.343475969055554,16.84156070734033,0.4123943665922693,-0.7862664190429869,32.1015223406,12.400415872,60.172907604600006,45.343475969055554,16.84156070734033,1,1.1357307719285359,271.22205868608353,136.66180929789127,271.22205868608353,216.48975679323905,48.191264378533916,NA,NA,NA,NA,NA,NA,NA,1,1.1357264069525532,271.2202566964286,136.66012834821427,271.2202566964286,216.48702368145334,48.19226944087583,0.1964915154569892,0.0048276106621408426,21053.519999999997,2.204999999999988,107138.205,20910.381944444445,29649.875595410136,NA,NA,NA,NA,NA,NA,NA,1,0.7952586297187374,1.068606871284083,0.7477554824928968,1.068606871284083,0.9803342543664073,0.11099862814301745,0.0730992873693874,-0.5371038532918464,0.04257601351351345,2.1114864864864866e-4,0.5797635135135134,0.11283549174174175,0.13081171880934425,NA,NA,NA,NA,NA,NA,NA,0.6095008113412355,0.30955718143370253,0.5429054910818694,0.35341113605971786,0.6643120429923275,0.5128351051450685,0.09714000430399004,0.009024435394298435,-0.6539399217743415,0.0066216216216216425,3.378378378378479e-5,0.7300337837837838,0.12047203453453452,0.17409919339990967,NA,NA,NA,NA,NA,NA,NA,Raipur,9,2
8819,0.07530989902204296,-2.1559595160602485,22.268769425666665,19.483268178933333,56.47045423156666,40.5355468212504,8.472690354113897,0.11744157723702281,-2.3292775022694507,27.185145882933334,23.041823820866664,58.321680916999995,47.62870873328952,8.776782856674531,1,2.1462054835133757,338.09309352348475,149.58105209347684,338.09309352348475,236.50537620754545,47.33363981049868,NA,NA,NA,NA,NA,NA,NA,1,2.1461825380977846,338.0894700779837,149.5659688892522,338.0894700779837,236.49857400513093,47.33562698860431,0.46795046813509056,0.890572606249327,10643.323333333332,57,22679.743333333332,6312.479714285714,4862.987687536331,0.1828196379804406,-1.0253913117727325,0.128878136532051,0.0023969721396154154,0.6942327387434606,0.32759371055525743,0.19379486810714244,0.7065860476095475,0.2112011650573686,1.1280245196265635,0.761455398101677,1.2802444723623805,1.1014856130163668,0.12565700858225795,0.09677026500389693,-0.7591312288435714,0.02264076576576573,2.702702702702684e-4,0.23144144144144152,0.057577220077220104,0.04602162707055946,0.4482629107981218,-0.06328908197185378,0.30873676361666125,0,0.6887403712855978,0.3208677939018077,0.19167650892047097,0.6000131756604377,0.1359771504938649,0.5470154657645033,0.35341113605971786,0.6760779333207683,0.5351194798243137,0.08748518333399198,0.06243567753001731,-0.9968073455677071,0.004121621621621631,2.2522522522523194e-5,0.06567567567567564,0.01963240025740025,0.015560457800343392,0.8571428571428551,1.1405043572353595,0.6060915267313252,7.461327794363651e-16,0.7071067811865476,0.35918731394467884,0.2164868649736286,Kathmandu,16,3
8896,1,0.6267115227623915,60.172907604600006,30.713468497999997,60.172907604600006,53.25377107962857,11.040385047451448,1,0.6267115227623915,60.172907604600006,30.713468497999997,60.172907604600006,53.25377107962857,11.040385047451448,0.4610957267981282,-0.3359439687438282,200.8786719720825,140.6916654196515,271.22205868608353,219.26963860884055,54.74414886960501,NA,NA,NA,NA,NA,NA,NA,0.46113111969825776,-0.3359139584102114,200.87679501488094,140.68115107548704,271.2202566964286,219.266632067322,54.74567695690623,0.21768993342717394,-0.15002080175729138,18202.320000000003,50,83436.125,22629.753928571427,29512.133495555317,NA,NA,NA,NA,NA,NA,NA,0.3999927853589453,-0.616207670343963,0.8760937231817693,0.7477554824928968,1.068606871284083,0.9585700618844679,0.13384503743139212,0.15938596491228063,-0.32519745197647465,0.046249999999999986,2.1114864864864866e-4,0.2890625,0.07387870012870013,0.0849597681678602,NA,NA,NA,NA,NA,NA,NA,1,1.3099784215252221,0.6643120429923275,0.34930116137708395,0.6643120429923275,0.5245959837300966,0.10665523719051641,0.3540741752612527,0.42966310028314925,0.1751351351351351,0,0.49462837837837825,0.10914112773487772,0.1535947754339787,NA,NA,NA,NA,NA,NA,NA,Colombo,8,2
9063,0.9999999999266221,0.6878916514686121,60.1729076029,24.739930221100003,60.172907605499994,51.99844419603889,11.88335894091615,0.9999999999266221,0.6878916514686121,60.1729076029,24.739930221100003,60.172907605499994,51.99844419603889,11.88335894091615,1,1.125969159609933,271.22205868608353,140.6916654196515,271.22205868608353,216.8606134368132,48.279692907488375,NA,NA,NA,NA,NA,NA,NA,1,1.125962918629642,271.2202566964286,140.68115107548704,271.2202566964286,216.85770924319925,48.28093941085688,0.10379905829656912,-0.3550741911311606,8705.401249999999,50,83436.125,17414.485,24527.504300595476,NA,NA,NA,NA,NA,NA,NA,1,0.8578222521017534,1.068606871284083,0.7415905204689462,1.068606871284083,0.9543357510697642,0.1332107204427756,0.11957569913211183,-0.30204285869760955,0.03459459459459459,3.378378378378475e-5,0.2890625,0.055932338588588586,0.07064475580055445,NA,NA,NA,NA,NA,NA,NA,0.6145956886062592,0.25965350834192313,0.5429054910818694,0.34930116137708395,0.6643120429923275,0.5168052683448123,0.10051943031205693,0.07779950140017759,-0.3578143364364475,0.038481841216216214,0,0.49462837837837825,0.08500961899399398,0.13003329671236274,NA,NA,NA,NA,NA,NA,NA,Kandy,10,2
9341,0.6146107039701191,0.14781526371087683,41.45865076103333,19.483268178933333,55.23823053176666,39.968675598775,10.07998176137404,0.7887034234142047,0.34540059964669706,50.81577918146666,25.098368337866667,57.70556906773333,47.44875513965714,9.748170805880417,1,1.0425426481290248,338.09309352348475,149.58105209347687,338.09309352348475,276.7185170209509,58.87008710164358,NA,NA,NA,NA,NA,NA,NA,1,1.0425364654958726,338.0894700779837,149.5659688892522,338.0894700779837,276.7131089511161,58.872148033377925,0.15340382387659268,-0.6043851023133063,10618.613333333333,158.33333333333334,68346.20333333334,23889.976964285714,21958.45592513076,0.1652243817089894,-1.1163982660525855,0.11440519071829129,0.004162172027912994,0.6713943174902572,0.3349259776362709,0.19752877948987466,0.6580021492789535,-0.403981244135242,1.1280245196265635,0.8351540941191075,1.2802444723623805,1.1710955746148943,0.10661647196153451,0.04082392566389638,-1.1358193360057947,0.0216047297297297,0.008023648648648678,0.3406981981981982,0.12298624517374518,0.08925848700598125,0.21306969767137568,-0.6253727086869231,0.1493887565887073,0.008729713347981541,0.6688847930143017,0.2629492737251026,0.18158854001613695,0.3248699369384213,-0.6882108911283448,0.5716296474749443,0.4338695987704475,0.85791637269711285,0.6567877932057842,0.1237384453350052,0.008387449495286239,-0.9770393494696255,0.008378378378378376,0.004836711711711705,0.42709459459459453,0.13691813465250963,0.13156047025527434,0.2962382445141091,-0.5889707784846044,0.19284730395996919,9.004297352619013e-17,0.6509871953780914,0.29282644875696257,0.16975230087685378,Dhanbad,9,3
